dataset,position,layer,index,eigenvalue,basis
sp_en_trans,period,15,2,4.357400411751283,tcPCA-8
sp_en_trans,period,15,3,2.649697586454962,tcPCA-8
sp_en_trans,period,15,4,1.9565607250217898,tcPCA-8
sp_en_trans,period,15,5,1.717476924922825,tcPCA-8
sp_en_trans,period,15,6,1.4903761780361686,tcPCA-8
sp_en_trans,period,15,7,1.22275692868154,tcPCA-8
sp_en_trans,period,15,8,1.0803635812539336,tcPCA-8
sp_en_trans,period,15,9,0.871231443676313,tcPCA-8
amazon,answer,15,0,2.002003837513682,GCC-8
amazon,answer,15,1,2.002003043839419,GCC-8
amazon,answer,15,2,2.00200263748391,GCC-8
amazon,answer,15,3,2.0020021290393766,GCC-8
amazon,answer,15,4,2.002001872832054,GCC-8
amazon,answer,15,5,2.00200045049031,GCC-8
amazon,answer,15,6,2.00200007494128,GCC-8
amazon,answer,15,7,2.001999707223875,GCC-8
amazon,answer,15,8,2.001999394264559,GCC-8
amazon,answer,15,9,2.001998909051572,GCC-8
amazon,period,15,0,1.9923427659838175,GCC-8
amazon,period,15,1,1.9787695555625446,GCC-8
amazon,period,15,2,1.9693463484185678,GCC-8
amazon,period,15,3,1.9415822415593804,GCC-8
amazon,period,15,4,1.9220019139118072,GCC-8
amazon,period,15,5,1.9140588397636347,GCC-8
amazon,period,15,6,1.908236047513956,GCC-8
amazon,period,15,7,1.9012105502760368,GCC-8
amazon,period,15,8,1.8965584151029617,GCC-8
amazon,period,15,9,1.8707834265659093,GCC-8
cities,answer,15,0,2.002003694928456,GCC-8
cities,answer,15,1,2.0020025370022108,GCC-8
cities,answer,15,2,2.00200210347247,GCC-8
cities,answer,15,3,2.0020013251881426,GCC-8
cities,answer,15,4,2.002001174394587,GCC-8
cities,answer,15,5,2.001999611042692,GCC-8
cities,answer,15,6,2.001999370560568,GCC-8
cities,answer,15,7,2.0019988898580383,GCC-8
cities,answer,15,8,2.0019983606654557,GCC-8
cities,answer,15,9,2.0019979582899428,GCC-8
cities,period,15,0,2.001732123448185,GCC-8
cities,period,15,1,2.001330867311944,GCC-8
cities,period,15,2,2.000955803357317,GCC-8
cities,period,15,3,2.0003320666461195,GCC-8
cities,period,15,4,2.00003932591331,GCC-8
cities,period,15,5,1.9996456629910282,GCC-8
cities,period,15,6,1.9991294245111857,GCC-8
cities,period,15,7,1.9984855217090935,GCC-8
cities,period,15,8,1.998223083125468,GCC-8
cities,period,15,9,1.997829299449701,GCC-8
comparisons,answer,15,0,2.0020026454400535,GCC-8
comparisons,answer,15,1,2.0020001908358576,GCC-8
comparisons,answer,15,2,2.0019975655873807,GCC-8
comparisons,answer,15,3,2.0019962054215004,GCC-8
comparisons,answer,15,4,2.0019958315077133,GCC-8
comparisons,answer,15,5,2.0019955345278984,GCC-8
comparisons,answer,15,6,2.001993723792453,GCC-8
comparisons,answer,15,7,2.0019933179542715,GCC-8
comparisons,answer,15,8,2.0019921253317983,GCC-8
comparisons,answer,15,9,2.001990998646591,GCC-8
comparisons,period,15,0,2.0011293338145397,GCC-8
comparisons,period,15,1,1.999528054045294,GCC-8
comparisons,period,15,2,1.9994027903108207,GCC-8
comparisons,period,15,3,1.9988530869221788,GCC-8
comparisons,period,15,4,1.9984171586958226,GCC-8
comparisons,period,15,5,1.9978982948152968,GCC-8
comparisons,period,15,6,1.997555507317244,GCC-8
comparisons,period,15,7,1.9966779741644354,GCC-8
comparisons,period,15,8,1.9957317270445503,GCC-8
comparisons,period,15,9,1.995575610074898,GCC-8
copa,answer,15,0,2.0040159343998156,GCC-8
copa,answer,15,1,2.0040159033077996,GCC-8
copa,answer,15,2,2.0040157484787353,GCC-8
copa,answer,15,3,2.0040156815561967,GCC-8
copa,answer,15,4,2.0040156574438392,GCC-8
copa,answer,15,5,2.0040155724807316,GCC-8
copa,answer,15,6,2.004015513378976,GCC-8
copa,answer,15,7,2.004015402772722,GCC-8
copa,answer,15,8,2.0040153281443938,GCC-8
copa,answer,15,9,2.004015273485054,GCC-8
copa,period,15,0,2.0040157664691924,GCC-8
copa,period,15,1,2.0040156273335947,GCC-8
copa,period,15,2,2.004015458504217,GCC-8
copa,period,15,3,2.0040154014741285,GCC-8
copa,period,15,4,2.0040153379139034,GCC-8
copa,period,15,5,2.0040152743921973,GCC-8
copa,period,15,6,2.004015167212566,GCC-8
copa,period,15,7,2.0040149061316224,GCC-8
copa,period,15,8,2.0040148437043737,GCC-8
copa,period,15,9,2.004014659314344,GCC-8
ent_bank,answer,15,0,2.002003705345119,GCC-8
ent_bank,answer,15,1,2.0020036356742943,GCC-8
ent_bank,answer,15,2,2.002003309370664,GCC-8
ent_bank,answer,15,3,2.0020030294206395,GCC-8
ent_bank,answer,15,4,2.002002979276773,GCC-8
ent_bank,answer,15,5,2.0020026223999703,GCC-8
ent_bank,answer,15,6,2.002002561984676,GCC-8
