model,method,dataset,position,layer,seed,K,lambda_k,max_overlap
llama3_8b,CCS,amazon,answer,15,26,128,0.7493846472786166,0.5941162818074301
llama3_8b,CCS,amazon,answer,15,27,1,0.05460422408018326,0.05460422408018326
llama3_8b,CCS,amazon,answer,15,27,2,0.5970525644150865,0.5945503707737739
llama3_8b,CCS,amazon,answer,15,27,4,0.6167275536526378,0.5945503707737739
llama3_8b,CCS,amazon,answer,15,27,8,0.6248816960165161,0.5945503707737739
llama3_8b,CCS,amazon,answer,15,27,16,0.6404010475752528,0.5945503707737739
llama3_8b,CCS,amazon,answer,15,27,32,0.6746101453320285,0.5945503707737739
llama3_8b,CCS,amazon,answer,15,27,64,0.7162885356499238,0.5945503707737739
llama3_8b,CCS,amazon,answer,15,27,128,0.7502500812074735,0.5945503707737739
llama3_8b,CCS,amazon,answer,15,28,1,0.05462785088578837,0.05462785088578837
llama3_8b,CCS,amazon,answer,15,28,2,0.5982693568718657,0.5957701077424713
llama3_8b,CCS,amazon,answer,15,28,4,0.6179210188227525,0.5957701077424713
llama3_8b,CCS,amazon,answer,15,28,8,0.6260944043011571,0.5957701077424713
llama3_8b,CCS,amazon,answer,15,28,16,0.6417181957610865,0.5957701077424713
llama3_8b,CCS,amazon,answer,15,28,32,0.6757677381036056,0.5957701077424713
llama3_8b,CCS,amazon,answer,15,28,64,0.7171551978838412,0.5957701077424713
llama3_8b,CCS,amazon,answer,15,28,128,0.7510002105630946,0.5957701077424713
llama3_8b,CCS,amazon,answer,15,29,1,0.05465460536422765,0.05465460536422765
llama3_8b,CCS,amazon,answer,15,29,2,0.6092657556690348,0.6068093894654569
llama3_8b,CCS,amazon,answer,15,29,4,0.6292958964028142,0.6068093894654569
llama3_8b,CCS,amazon,answer,15,29,8,0.6369959550101596,0.6068093894654569
llama3_8b,CCS,amazon,answer,15,29,16,0.6521307087882894,0.6068093894654569
llama3_8b,CCS,amazon,answer,15,29,32,0.6893719221279487,0.6068093894654569
llama3_8b,CCS,amazon,answer,15,29,64,0.7321374541895567,0.6068093894654569
llama3_8b,CCS,amazon,answer,15,29,128,0.763787604124473,0.6068093894654569
llama3_8b,CCS,amazon,period,15,0,1,0.009412317239617581,0.009412317239617581
llama3_8b,CCS,amazon,period,15,0,2,0.042512625962658146,0.041457588574610474
llama3_8b,CCS,amazon,period,15,0,4,0.12394294053755767,0.11576155857098601
llama3_8b,CCS,amazon,period,15,0,8,0.45965044572251573,0.3320471437344236
llama3_8b,CCS,amazon,period,15,0,16,0.6399975617733119,0.3320471437344236
llama3_8b,CCS,amazon,period,15,0,32,0.6986901419529391,0.3320471437344236
llama3_8b,CCS,amazon,period,15,0,64,0.7479318525322892,0.3320471437344236
llama3_8b,CCS,amazon,period,15,0,128,0.7878207439020204,0.3320471437344236
llama3_8b,CCS,amazon,period,15,1,1,0.009856788868067661,0.009856788868067661
llama3_8b,CCS,amazon,period,15,1,2,0.04304823145845145,0.041904581431041005
llama3_8b,CCS,amazon,period,15,1,4,0.12247109441975099,0.11407368519362208
llama3_8b,CCS,amazon,period,15,1,8,0.45146070681719586,0.3256246823715886
llama3_8b,CCS,amazon,period,15,1,16,0.6290478320413418,0.3256246823715886
llama3_8b,CCS,amazon,period,15,1,32,0.6876428604771759,0.3256246823715886
llama3_8b,CCS,amazon,period,15,1,64,0.739009729635618,0.3256246823715886
llama3_8b,CCS,amazon,period,15,1,128,0.7795242825869574,0.3256246823715886
llama3_8b,CCS,amazon,period,15,2,1,0.009149944675385609,0.009149944675385609
llama3_8b,CCS,amazon,period,15,2,2,0.04366680306954402,0.042697402763537284
llama3_8b,CCS,amazon,period,15,2,4,0.12445129130705071,0.11594438996678512
llama3_8b,CCS,amazon,period,15,2,8,0.45911515942914993,0.3316948001862172
llama3_8b,CCS,amazon,period,15,2,16,0.6399599429432273,0.3316948001862172
llama3_8b,CCS,amazon,period,15,2,32,0.6979303935740967,0.3316948001862172
llama3_8b,CCS,amazon,period,15,2,64,0.7505386700334488,0.3316948001862172
llama3_8b,CCS,amazon,period,15,2,128,0.7909585254755916,0.3316948001862172
llama3_8b,CCS,amazon,period,15,3,1,0.00977865879212165,0.00977865879212165
llama3_8b,CCS,amazon,period,15,3,2,0.0419480817312474,0.04079239381500764
llama3_8b,CCS,amazon,period,15,3,4,0.12294678841814786,0.11476602670468954
llama3_8b,CCS,amazon,period,15,3,8,0.4543166750692805,0.3288938188969909
llama3_8b,CCS,amazon,period,15,3,16,0.6318012474552881,0.3288938188969909
llama3_8b,CCS,amazon,period,15,3,32,0.6922659384636419,0.3288938188969909
llama3_8b,CCS,amazon,period,15,3,64,0.7410239238931079,0.3288938188969909
llama3_8b,CCS,amazon,period,15,3,128,0.7787598888573761,0.3288938188969909
llama3_8b,CCS,amazon,period,15,4,1,0.010070615210389872,0.010070615210389872
llama3_8b,CCS,amazon,period,15,4,2,0.04321000917152817,0.04202008569586469
llama3_8b,CCS,amazon,period,15,4,4,0.1221318112350098,0.11351026978826377
llama3_8b,CCS,amazon,period,15,4,8,0.44898814741778376,0.32253243921361296
llama3_8b,CCS,amazon,period,15,4,16,0.6291084503870517,0.32253243921361296
llama3_8b,CCS,amazon,period,15,4,32,0.6870231944459138,0.32253243921361296
llama3_8b,CCS,amazon,period,15,4,64,0.7404996368140293,0.32253243921361296
llama3_8b,CCS,amazon,period,15,4,128,0.7799169234560585,0.32253243921361296
llama3_8b,CCS,amazon,period,15,5,1,0.010184451705333141,0.010184451705333141
llama3_8b,CCS,amazon,period,15,5,2,0.04175288519281326,0.040491732062064
